Isolate,Stx_gene,No._of_contig
SRR25603930,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR25603930,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929614,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929614,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15376142,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376142,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR15277995,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR15277995,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
DRR381661,stx2c_A_lcl|M59432.1_cds_AAA19623.1_1,2
DRR381661,stx2c_B_lcl|M59432.1_cds_AAA19624.1_2,2
SRR4301544,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR4301544,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6929607,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929607,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR10337442,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR10337442,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6929606,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929606,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
DRR381665,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
DRR381665,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15415573,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15415573,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929619,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929619,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR3180501,stx2c_A_lcl|M59432.1_cds_AAA19623.1_1,2
SRR3180501,stx2c_B_lcl|M59432.1_cds_AAA19624.1_2,2
SRR3224814,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR3224814,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR13160357,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR13160357,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415539,stx2d_A_lcl|FM998848.1_cds_CAX45722.1_1,5
SRR15415539,stx2d_B_lcl|FM998848.1_cds_CAX45723.1_2,1
DRR381740,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381740,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR25551086,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR25551086,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15415532,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR15415532,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
SRR6929623,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR6929623,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929636,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR6929636,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
